timestamp,confidence,severity
2026-04-26 21:09:36,0.9347375631332397,High
2026-04-26 21:09:36,0.9151232242584229,High
2026-04-26 21:09:36,0.8945472836494446,High
2026-04-26 21:09:36,0.7274782657623291,Low
2026-04-26 21:09:36,0.6113410592079163,Low
2026-04-26 21:21:50,0.7655520439147949,High
2026-04-26 21:21:52,0.7687432169914246,High
2026-04-26 21:21:52,0.7699864506721497,High
2026-04-26 21:21:52,0.7679754495620728,High
2026-04-26 21:21:52,0.7675822377204895,High
2026-04-26 21:21:53,0.769890308380127,High
2026-04-26 21:21:53,0.7700973153114319,High
2026-04-26 21:21:53,0.7764598727226257,High
2026-04-26 21:21:53,0.7784373760223389,High
2026-04-26 21:21:53,0.776608943939209,High
2026-04-26 21:21:53,0.7717365622520447,High
2026-04-26 21:21:53,0.7759391069412231,High
2026-04-26 21:21:53,0.7711007595062256,High
2026-04-26 21:21:54,0.776621401309967,High
2026-04-26 21:21:54,0.7770175933837891,High
2026-04-26 21:21:54,0.7763243913650513,High
2026-04-26 21:21:54,0.7754421830177307,High
2026-04-26 21:21:54,0.7773966789245605,High
2026-04-26 21:21:54,0.7767494916915894,High
2026-04-26 21:21:54,0.7801873087882996,High
2026-04-26 21:21:54,0.7822809219360352,High
2026-04-26 21:21:55,0.782536506652832,High
2026-04-26 21:21:55,0.7814573049545288,High
2026-04-26 21:21:55,0.782072901725769,High
2026-04-26 21:21:55,0.780002236366272,High
2026-04-26 21:21:55,0.7789517641067505,High
2026-04-26 21:21:55,0.7787206172943115,High
2026-04-26 21:21:55,0.7792527079582214,High
2026-04-26 21:21:56,0.779130756855011,High
2026-04-26 21:21:56,0.7866019606590271,High
2026-04-26 21:21:56,0.787580132484436,High
2026-04-26 21:21:56,0.7837125062942505,High
2026-04-26 21:21:56,0.7857342958450317,High
2026-04-26 21:21:56,0.7853295803070068,High
2026-04-26 21:21:56,0.7878552079200745,High
2026-04-26 21:21:56,0.7881743907928467,High
2026-04-26 21:21:56,0.789517879486084,High
2026-04-26 21:21:57,0.7883655428886414,High
2026-04-26 21:21:57,0.7915628552436829,High
2026-04-26 21:21:57,0.7967345714569092,High
2026-04-26 21:21:57,0.7940564751625061,High
2026-04-26 21:21:57,0.7933230996131897,High
2026-04-26 21:21:57,0.793220579624176,High
2026-04-26 21:21:57,0.7981700301170349,High
2026-04-26 21:21:58,0.7987233400344849,High
2026-04-26 21:21:58,0.800879955291748,High
2026-04-26 21:21:58,0.801504909992218,High
2026-04-26 21:21:58,0.8035075664520264,High
2026-04-26 21:21:58,0.8030811548233032,High
2026-04-26 21:21:58,0.8012022376060486,High
2026-04-26 21:21:58,0.7936098575592041,High
2026-04-26 21:21:59,0.7917988300323486,High
2026-04-26 21:21:59,0.7955069541931152,High
2026-04-26 21:21:59,0.7952840328216553,High
2026-04-26 21:21:59,0.7721850275993347,High
2026-04-26 21:21:59,0.7828706502914429,High
2026-04-26 21:21:59,0.720208466053009,High
2026-04-26 21:21:59,0.5167685747146606,High
2026-04-26 21:21:59,0.32427284121513367,High
2026-04-26 21:21:59,0.5337861180305481,High
2026-04-26 21:22:00,0.5755342841148376,High
2026-04-26 21:22:00,0.3008074462413788,High
2026-04-26 21:22:00,0.46602922677993774,High
2026-04-26 21:22:00,0.3381475806236267,High
2026-04-26 21:22:00,0.42304104566574097,High
2026-04-26 21:22:00,0.3110831081867218,High
2026-04-26 21:22:00,0.2950212359428406,High
2026-04-26 21:22:00,0.6310676336288452,High
2026-04-26 21:22:00,0.5907232165336609,High
2026-04-26 21:22:00,0.5258647203445435,High
2026-04-26 21:22:01,0.43086859583854675,High
2026-04-26 21:22:01,0.5250980257987976,High
2026-04-26 21:22:01,0.6002256274223328,High
2026-04-26 21:22:01,0.646496057510376,High
2026-04-26 21:22:01,0.6536754369735718,High
2026-04-26 21:22:01,0.6537224054336548,High
2026-04-26 21:22:01,0.5785460472106934,High
2026-04-26 21:22:02,0.47872334718704224,High
2026-04-26 21:22:02,0.2629053294658661,High
2026-04-26 21:22:02,0.6430824398994446,High
2026-04-26 21:22:02,0.6300908327102661,High
2026-04-26 21:22:02,0.6822990775108337,High
2026-04-26 21:22:02,0.6962690949440002,High
2026-04-26 21:22:02,0.8023528456687927,High
2026-04-26 21:22:02,0.7870107889175415,High
2026-04-26 21:22:03,0.796177327632904,High
2026-04-26 21:22:03,0.7745612859725952,High
2026-04-26 21:22:03,0.7791568040847778,High
2026-04-26 21:22:03,0.7808478474617004,High
2026-04-26 21:22:03,0.7820743918418884,High
2026-04-26 21:22:03,0.789776086807251,High
